As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
31-08-2021,9,-,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",71,531
31-08-2021,10,9,7,Vivo,Movie,Yes,"Aug 6, 2021",25,158
01-09-2021,1,1,-,Clickbait,TV Show,Yes,"Aug 25, 2021",7,65
01-09-2021,2,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",5,48
01-09-2021,3,4,2,Manifest,TV Show,,"Jun 10, 2021",65,524
01-09-2021,4,3,-,SAS: Red Notice,Movie,,"Aug 27, 2021",5,39
01-09-2021,5,5,7,Cocomelon,TV Show,,"Jun 1, 2020",308,1100
01-09-2021,6,6,5,All American,TV Show,,"Mar 28, 2019",64,413
01-09-2021,7,7,1,Sweet Girl,Movie,Yes,"Aug 20, 2021",12,96
01-09-2021,8,9,6,Outer Banks,TV Show,Yes,"Apr 15, 2020",72,534
01-09-2021,9,10,8,Vivo,Movie,Yes,"Aug 6, 2021",26,160
01-09-2021,10,8,-,"Bob Ross: Happy Accidents, …",Movie,Yes,"Aug 25, 2021",7,27
02-09-2021,1,1,3,Clickbait,TV Show,Yes,"Aug 25, 2021",8,75
02-09-2021,2,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",6,57
02-09-2021,3,3,2,Manifest,TV Show,,"Jun 10, 2021",66,532
02-09-2021,4,-,-,Green Lantern,Movie,,"Sep 1, 2021",1,7
02-09-2021,5,4,-,SAS: Red Notice,Movie,,"Aug 27, 2021",6,45
02-09-2021,6,5,8,Cocomelon,TV Show,,"Jun 1, 2020",309,1105
02-09-2021,7,-,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",1,4
02-09-2021,8,-,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",1,3
02-09-2021,9,6,5,All American,TV Show,,"Mar 28, 2019",65,415
02-09-2021,10,9,9,Vivo,Movie,Yes,"Aug 6, 2021",27,161
03-09-2021,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",9,85
03-09-2021,2,-,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",1,9
03-09-2021,3,8,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",2,11
03-09-2021,4,3,3,Manifest,TV Show,,"Jun 10, 2021",67,539
03-09-2021,5,2,-,Heâs All That,Movie,Yes,"Aug 27, 2021",7,63
03-09-2021,6,4,-,Green Lantern,Movie,,"Sep 1, 2021",2,12
03-09-2021,7,7,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",2,8
03-09-2021,8,6,7,Cocomelon,TV Show,,"Jun 1, 2020",310,1108
03-09-2021,9,5,-,SAS: Red Notice,Movie,,"Aug 27, 2021",7,47
03-09-2021,10,9,6,All American,TV Show,,"Mar 28, 2019",66,416
04-09-2021,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",10,95
04-09-2021,2,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",17,89
04-09-2021,3,2,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",2,17
04-09-2021,4,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",3,18
04-09-2021,5,6,-,Green Lantern,Movie,,"Sep 1, 2021",3,18
04-09-2021,6,7,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",3,13
04-09-2021,7,4,4,Manifest,TV Show,,"Jun 10, 2021",68,543
04-09-2021,8,5,1,Heâs All That,Movie,Yes,"Aug 27, 2021",8,66
04-09-2021,9,8,8,Cocomelon,TV Show,,"Jun 1, 2020",311,1110
04-09-2021,10,-,9,Vivo,Movie,Yes,"Aug 6, 2021",28,162
05-09-2021,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",11,105
05-09-2021,2,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",18,98
05-09-2021,3,4,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",4,26
05-09-2021,4,3,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",3,24
05-09-2021,5,5,-,Green Lantern,Movie,,"Sep 1, 2021",4,24
05-09-2021,6,6,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",4,18
05-09-2021,7,7,5,Manifest,TV Show,,"Jun 10, 2021",69,547
05-09-2021,8,8,1,Heâs All That,Movie,Yes,"Aug 27, 2021",9,69
05-09-2021,9,9,9,Cocomelon,TV Show,,"Jun 1, 2020",312,1112
05-09-2021,10,-,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",1,1
06-09-2021,1,1,2,Clickbait,TV Show,Yes,"Aug 25, 2021",12,115
06-09-2021,2,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",19,107
06-09-2021,3,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",5,34
06-09-2021,4,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",4,31
06-09-2021,5,5,-,Green Lantern,Movie,,"Sep 1, 2021",5,30
06-09-2021,6,6,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",5,23
06-09-2021,7,7,4,Manifest,TV Show,,"Jun 10, 2021",70,551
06-09-2021,8,10,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",2,4
06-09-2021,9,-,-,Worth,Movie,Yes,"Sep 3, 2021",1,2
06-09-2021,10,9,7,Cocomelon,TV Show,,"Jun 1, 2020",313,1113
07-09-2021,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",13,125
07-09-2021,2,3,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",6,43
07-09-2021,3,2,-,Money Heist,TV Show,Yes,"Dec 20, 2017",20,115
07-09-2021,4,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",5,38
07-09-2021,5,9,-,Worth,Movie,Yes,"Sep 3, 2021",2,8
07-09-2021,6,7,4,Manifest,TV Show,,"Jun 10, 2021",71,556
07-09-2021,7,8,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",3,8
07-09-2021,8,6,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",6,26
07-09-2021,9,5,-,Green Lantern,Movie,,"Sep 1, 2021",6,32
07-09-2021,10,10,5,Cocomelon,TV Show,,"Jun 1, 2020",314,1114
08-09-2021,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",14,135
08-09-2021,2,2,-,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",7,52
08-09-2021,3,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",21,123
08-09-2021,4,6,3,Manifest,TV Show,,"Jun 10, 2021",72,563
08-09-2021,5,4,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",6,44
08-09-2021,6,10,5,Cocomelon,TV Show,,"Jun 1, 2020",315,1119
08-09-2021,7,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",4,12
08-09-2021,8,5,-,Worth,Movie,Yes,"Sep 3, 2021",3,11
08-09-2021,9,8,-,Welcome Home Roscoe Jenkins,Movie,,"Sep 1, 2021",7,28
08-09-2021,10,9,-,Green Lantern,Movie,,"Sep 1, 2021",7,33
09-09-2021,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",15,145
09-09-2021,2,2,8,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",8,61
09-09-2021,3,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",22,131
09-09-2021,4,4,3,Manifest,TV Show,,"Jun 10, 2021",73,570
09-09-2021,5,-,-,The Circle US,TV Show,Yes,"Jan 1, 2020",26,160
09-09-2021,6,6,6,Cocomelon,TV Show,,"Jun 1, 2020",316,1124
09-09-2021,7,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",5,16
09-09-2021,8,5,-,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",7,47
09-09-2021,9,8,-,Worth,Movie,Yes,"Sep 3, 2021",4,13
09-09-2021,10,-,-,On the Verge,TV Show,Yes,"Sep 7, 2021",1,1
10-09-2021,1,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",16,155
10-09-2021,2,2,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",9,70
10-09-2021,3,3,-,Money Heist,TV Show,Yes,"Dec 20, 2017",23,139
10-09-2021,4,5,-,The Circle US,TV Show,Yes,"Jan 1, 2020",27,167
10-09-2021,5,6,8,Cocomelon,TV Show,,"Jun 1, 2020",317,1130
10-09-2021,6,4,4,Manifest,TV Show,,"Jun 10, 2021",74,575
10-09-2021,7,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",2,5
10-09-2021,8,7,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",6,19
10-09-2021,9,8,2,Afterlife of the Party,Movie,Yes,"Sep 2, 2021",8,49
10-09-2021,10,9,-,Worth,Movie,Yes,"Sep 3, 2021",5,14
11-09-2021,1,-,-,Kate,Movie,Yes,"Sep 10, 2021",1,10
11-09-2021,2,-,-,Lucifer,TV Show,,"Dec 15, 2018",44,314
11-09-2021,3,1,1,Clickbait,TV Show,Yes,"Aug 25, 2021",17,163
11-09-2021,4,2,4,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",10,77
11-09-2021,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",318,1136
11-09-2021,6,4,-,The Circle US,TV Show,Yes,"Jan 1, 2020",28,172
11-09-2021,7,3,2,Money Heist,TV Show,Yes,"Dec 20, 2017",24,143
11-09-2021,8,8,-,Sharkdog,TV Show,Yes,"Sep 3, 2021",7,22
11-09-2021,9,6,7,Manifest,TV Show,,"Jun 10, 2021",75,577
11-09-2021,10,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",3,6
12-09-2021,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",2,20
12-09-2021,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",45,323
12-09-2021,3,4,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",11,85
12-09-2021,4,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",18,170
12-09-2021,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",319,1142
12-09-2021,6,8,10,Sharkdog,TV Show,Yes,"Sep 3, 2021",8,27
12-09-2021,7,-,-,Prey,Movie,Yes,"Sep 10, 2021",1,4
12-09-2021,8,6,-,The Circle US,TV Show,Yes,"Jan 1, 2020",29,175
12-09-2021,9,7,2,Money Heist,TV Show,Yes,"Dec 20, 2017",25,145
12-09-2021,10,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",4,7
13-09-2021,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",3,30
13-09-2021,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",46,332
13-09-2021,3,4,1,Clickbait,TV Show,Yes,"Aug 25, 2021",19,178
13-09-2021,4,3,3,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",12,92
13-09-2021,5,7,-,Prey,Movie,Yes,"Sep 10, 2021",2,10
13-09-2021,6,5,10,Cocomelon,TV Show,,"Jun 1, 2020",320,1147
13-09-2021,7,10,-,On the Verge,TV Show,Yes,"Sep 7, 2021",5,11
13-09-2021,8,-,-,An Unfinished Life,Movie,,"Sep 1, 2021",1,3
13-09-2021,9,6,8,Sharkdog,TV Show,Yes,"Sep 3, 2021",9,29
13-09-2021,10,-,7,Manifest,TV Show,,"Jun 10, 2021",76,578
14-09-2021,1,1,-,Kate,Movie,Yes,"Sep 10, 2021",4,40
14-09-2021,2,2,-,Lucifer,TV Show,,"Dec 15, 2018",47,341
14-09-2021,3,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",20,186
14-09-2021,4,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",13,99
14-09-2021,5,5,-,Prey,Movie,Yes,"Sep 10, 2021",3,16
14-09-2021,6,6,10,Cocomelon,TV Show,,"Jun 1, 2020",321,1152
14-09-2021,7,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",6,15
14-09-2021,8,8,-,An Unfinished Life,Movie,,"Sep 1, 2021",2,6
14-09-2021,9,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",10,31
14-09-2021,10,10,6,Manifest,TV Show,,"Jun 10, 2021",77,579
15-09-2021,1,2,-,Lucifer,TV Show,,"Dec 15, 2018",48,351
15-09-2021,2,1,-,Kate,Movie,Yes,"Sep 10, 2021",5,49
15-09-2021,3,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",21,194
15-09-2021,4,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",14,106
15-09-2021,5,5,-,Prey,Movie,Yes,"Sep 10, 2021",4,22
15-09-2021,6,6,6,Cocomelon,TV Show,,"Jun 1, 2020",322,1157
15-09-2021,7,10,4,Manifest,TV Show,,"Jun 10, 2021",78,583
15-09-2021,8,8,-,An Unfinished Life,Movie,,"Sep 1, 2021",3,9
15-09-2021,9,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",11,33
15-09-2021,10,7,-,On the Verge,TV Show,Yes,"Sep 7, 2021",7,16
16-09-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",49,361
16-09-2021,2,3,1,Clickbait,TV Show,Yes,"Aug 25, 2021",22,203
16-09-2021,3,2,-,Kate,Movie,Yes,"Sep 10, 2021",6,57
16-09-2021,4,-,5,The Circle US,TV Show,Yes,"Jan 1, 2020",30,182
16-09-2021,5,4,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",15,112
16-09-2021,6,6,6,Cocomelon,TV Show,,"Jun 1, 2020",323,1162
16-09-2021,7,7,4,Manifest,TV Show,,"Jun 10, 2021",79,587
16-09-2021,8,5,-,Prey,Movie,Yes,"Sep 10, 2021",5,25
16-09-2021,9,8,-,An Unfinished Life,Movie,,"Sep 1, 2021",4,11
16-09-2021,10,9,7,Sharkdog,TV Show,Yes,"Sep 3, 2021",12,34
17-09-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",50,371
17-09-2021,2,2,1,Clickbait,TV Show,Yes,"Aug 25, 2021",23,212
17-09-2021,3,-,-,Safe House,Movie,,"Sep 16, 2021",1,8
17-09-2021,4,3,-,Kate,Movie,Yes,"Sep 10, 2021",7,64
17-09-2021,5,4,4,The Circle US,TV Show,Yes,"Jan 1, 2020",31,188
17-09-2021,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",324,1167
17-09-2021,7,5,2,Turning Point: 9/11 and the…,TV Show,Yes,"Sep 1, 2021",16,116
17-09-2021,8,7,6,Manifest,TV Show,,"Jun 10, 2021",80,590
17-09-2021,9,-,-,Nightbooks,Movie,Yes,"Sep 15, 2021",1,2
17-09-2021,10,9,-,An Unfinished Life,Movie,,"Sep 1, 2021",5,12
18-09-2021,1,-,-,Sex Education,TV Show,Yes,"Jan 11, 2019",1,10
18-09-2021,2,3,-,Safe House,Movie,,"Sep 16, 2021",2,17
18-09-2021,3,1,2,Lucifer,TV Show,,"Dec 15, 2018",51,379
18-09-2021,4,2,3,Clickbait,TV Show,Yes,"Aug 25, 2021",24,219
18-09-2021,5,4,1,Kate,Movie,Yes,"Sep 10, 2021",8,70
18-09-2021,6,5,6,The Circle US,TV Show,Yes,"Jan 1, 2020",32,193
18-09-2021,7,6,5,Cocomelon,TV Show,,"Jun 1, 2020",325,1171
18-09-2021,8,9,-,Nightbooks,Movie,Yes,"Sep 15, 2021",2,5
18-09-2021,9,10,-,An Unfinished Life,Movie,,"Sep 1, 2021",6,14
18-09-2021,10,-,8,Sharkdog,TV Show,Yes,"Sep 3, 2021",13,35
19-09-2021,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",2,20
19-09-2021,2,2,-,Safe House,Movie,,"Sep 16, 2021",3,26
19-09-2021,3,4,4,Clickbait,TV Show,Yes,"Aug 25, 2021",25,227
19-09-2021,4,3,2,Lucifer,TV Show,,"Dec 15, 2018",52,386
19-09-2021,5,5,1,Kate,Movie,Yes,"Sep 10, 2021",9,76
19-09-2021,6,8,-,Nightbooks,Movie,Yes,"Sep 15, 2021",3,10
19-09-2021,7,7,5,Cocomelon,TV Show,,"Jun 1, 2020",326,1175
19-09-2021,8,-,-,Squid Game,TV Show,Yes,"Sep 17, 2021",1,3
19-09-2021,9,6,8,The Circle US,TV Show,Yes,"Jan 1, 2020",33,195
19-09-2021,10,9,-,An Unfinished Life,Movie,,"Sep 1, 2021",7,15
20-09-2021,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",3,30
20-09-2021,2,8,-,Squid Game,TV Show,Yes,"Sep 17, 2021",2,12
20-09-2021,3,2,-,Safe House,Movie,,"Sep 16, 2021",4,34
20-09-2021,4,3,3,Clickbait,TV Show,Yes,"Aug 25, 2021",26,234
20-09-2021,5,4,2,Lucifer,TV Show,,"Dec 15, 2018",53,392
20-09-2021,6,5,1,Kate,Movie,Yes,"Sep 10, 2021",10,81
20-09-2021,7,-,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",1,4
20-09-2021,8,7,6,Cocomelon,TV Show,,"Jun 1, 2020",327,1178
20-09-2021,9,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",34,197
20-09-2021,10,6,-,Nightbooks,Movie,Yes,"Sep 15, 2021",4,11
21-09-2021,1,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",4,40
21-09-2021,2,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",3,21
21-09-2021,3,3,-,Safe House,Movie,,"Sep 16, 2021",5,42
21-09-2021,4,4,3,Clickbait,TV Show,Yes,"Aug 25, 2021",27,241
21-09-2021,5,5,2,Lucifer,TV Show,,"Dec 15, 2018",54,398
21-09-2021,6,6,1,Kate,Movie,Yes,"Sep 10, 2021",11,86
21-09-2021,7,7,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",2,8
21-09-2021,8,8,6,Cocomelon,TV Show,,"Jun 1, 2020",328,1181
21-09-2021,9,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",35,199
21-09-2021,10,10,-,Nightbooks,Movie,Yes,"Sep 15, 2021",5,12
22-09-2021,1,2,-,Squid Game,TV Show,Yes,"Sep 17, 2021",4,31
22-09-2021,2,1,-,Sex Education,TV Show,Yes,"Jan 11, 2019",5,49
22-09-2021,3,4,3,Clickbait,TV Show,Yes,"Aug 25, 2021",28,249
22-09-2021,4,5,1,Lucifer,TV Show,,"Dec 15, 2018",55,405
22-09-2021,5,3,-,Safe House,Movie,,"Sep 16, 2021",6,48
22-09-2021,6,7,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",3,13
22-09-2021,7,8,6,Cocomelon,TV Show,,"Jun 1, 2020",329,1185
22-09-2021,8,9,-,The Circle US,TV Show,Yes,"Jan 1, 2020",36,202
22-09-2021,9,6,2,Kate,Movie,Yes,"Sep 10, 2021",12,88
22-09-2021,10,-,9,Sharkdog,TV Show,Yes,"Sep 3, 2021",14,36
23-09-2021,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",5,41
23-09-2021,2,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",6,58
23-09-2021,3,3,2,Clickbait,TV Show,Yes,"Aug 25, 2021",29,257
23-09-2021,4,4,1,Lucifer,TV Show,,"Dec 15, 2018",56,412
23-09-2021,5,5,-,Safe House,Movie,,"Sep 16, 2021",7,54
23-09-2021,6,6,-,The Father Who Moves Mountains,Movie,Yes,"Sep 17, 2021",4,18
23-09-2021,7,7,6,Cocomelon,TV Show,,"Jun 1, 2020",330,1189
23-09-2021,8,8,4,The Circle US,TV Show,Yes,"Jan 1, 2020",37,205
23-09-2021,9,9,3,Kate,Movie,Yes,"Sep 10, 2021",13,90
23-09-2021,10,10,10,Sharkdog,TV Show,Yes,"Sep 3, 2021",15,37
24-09-2021,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",6,51
24-09-2021,2,2,-,Sex Education,TV Show,Yes,"Jan 11, 2019",7,67
24-09-2021,3,-,-,Intrusion,Movie,Yes,"Sep 22, 2021",1,8
24-09-2021,4,-,-,Grown Ups,Movie,,"Sep 20, 2021",1,7
24-09-2021,5,-,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",1,6
24-09-2021,6,8,5,The Circle US,TV Show,Yes,"Jan 1, 2020",38,210
24-09-2021,7,3,2,Clickbait,TV Show,Yes,"Aug 25, 2021",30,261
24-09-2021,8,4,1,Lucifer,TV Show,,"Dec 15, 2018",57,415
24-09-2021,9,7,6,Cocomelon,TV Show,,"Jun 1, 2020",331,1191
24-09-2021,10,5,3,Safe House,Movie,,"Sep 16, 2021",8,55
25-09-2021,1,1,-,Squid Game,TV Show,Yes,"Sep 17, 2021",7,61
25-09-2021,2,3,-,Intrusion,Movie,Yes,"Sep 22, 2021",2,17
25-09-2021,3,2,1,Sex Education,TV Show,Yes,"Jan 11, 2019",8,75
25-09-2021,4,4,-,Grown Ups,Movie,,"Sep 20, 2021",2,14
25-09-2021,5,-,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",1,6
25-09-2021,6,-,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",1,5
25-09-2021,7,-,-,The Starling,Movie,Yes,"Sep 24, 2021",1,4
25-09-2021,8,5,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",2,9
25-09-2021,9,6,6,The Circle US,TV Show,Yes,"Jan 1, 2020",39,212
25-09-2021,10,9,7,Cocomelon,TV Show,,"Jun 1, 2020",332,1192
26-09-2021,1,1,8,Squid Game,TV Show,Yes,"Sep 17, 2021",8,71
26-09-2021,2,7,-,The Starling,Movie,Yes,"Sep 24, 2021",2,13
26-09-2021,3,6,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",2,13
26-09-2021,4,5,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",2,13
26-09-2021,5,2,-,Intrusion,Movie,Yes,"Sep 22, 2021",3,23
26-09-2021,6,4,-,Grown Ups,Movie,,"Sep 20, 2021",3,19
26-09-2021,7,3,1,Sex Education,TV Show,Yes,"Jan 11, 2019",9,79
26-09-2021,8,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",3,12
26-09-2021,9,10,7,Cocomelon,TV Show,,"Jun 1, 2020",333,1194
26-09-2021,10,-,3,Clickbait,TV Show,Yes,"Aug 25, 2021",31,262
27-09-2021,1,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",9,81
27-09-2021,2,2,-,The Starling,Movie,Yes,"Sep 24, 2021",3,22
27-09-2021,3,3,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",3,21
27-09-2021,4,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",3,20
27-09-2021,5,6,-,Grown Ups,Movie,,"Sep 20, 2021",4,25
27-09-2021,6,7,1,Sex Education,TV Show,Yes,"Jan 11, 2019",10,84
27-09-2021,7,5,-,Intrusion,Movie,Yes,"Sep 22, 2021",4,27
27-09-2021,8,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",4,15
27-09-2021,9,10,4,Clickbait,TV Show,Yes,"Aug 25, 2021",32,264
27-09-2021,10,9,8,Cocomelon,TV Show,,"Jun 1, 2020",334,1195
28-09-2021,1,1,2,Squid Game,TV Show,Yes,"Sep 17, 2021",10,91
28-09-2021,2,3,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",4,30
28-09-2021,3,2,-,The Starling,Movie,Yes,"Sep 24, 2021",4,30
28-09-2021,4,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",4,27
28-09-2021,5,5,-,Grown Ups,Movie,,"Sep 20, 2021",5,31
28-09-2021,6,6,1,Sex Education,TV Show,Yes,"Jan 11, 2019",11,89
28-09-2021,7,10,8,Cocomelon,TV Show,,"Jun 1, 2020",335,1199
28-09-2021,8,7,-,Intrusion,Movie,Yes,"Sep 22, 2021",5,30
28-09-2021,9,8,-,Monsters Inside: The 24 Fac…,TV Show,Yes,"Sep 22, 2021",5,17
28-09-2021,10,9,4,Clickbait,TV Show,Yes,"Aug 25, 2021",33,265
29-09-2021,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",11,101
29-09-2021,2,2,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",5,39
29-09-2021,3,-,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",1,8
29-09-2021,4,3,-,The Starling,Movie,Yes,"Sep 24, 2021",5,37
29-09-2021,5,5,-,Grown Ups,Movie,,"Sep 20, 2021",6,37
29-09-2021,6,4,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",5,32
29-09-2021,7,6,2,Sex Education,TV Show,Yes,"Jan 11, 2019",12,93
29-09-2021,8,7,7,Cocomelon,TV Show,,"Jun 1, 2020",336,1202
29-09-2021,9,8,-,Intrusion,Movie,Yes,"Sep 22, 2021",6,32
29-09-2021,10,10,3,Clickbait,TV Show,Yes,"Aug 25, 2021",34,266
30-09-2021,1,3,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",2,18
30-09-2021,2,-,-,No One Gets Out Alive,Movie,Yes,"Sep 29, 2021",1,9
30-09-2021,3,6,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",6,40
30-09-2021,4,4,-,The Starling,Movie,Yes,"Sep 24, 2021",6,44
30-09-2021,5,5,-,Grown Ups,Movie,,"Sep 20, 2021",7,43
30-09-2021,6,9,-,Intrusion,Movie,Yes,"Sep 22, 2021",7,37
30-09-2021,7,-,-,Vivo,Movie,Yes,"Aug 6, 2021",29,166
30-09-2021,8,-,5,Safe House,Movie,,"Sep 16, 2021",9,58
30-09-2021,9,-,-,Home,Movie,,"May 25, 2021",21,123
30-09-2021,10,-,9,Kate,Movie,Yes,"Sep 10, 2021",14,91
01-10-2021,1,-,1,Squid Game,TV Show,Yes,"Sep 17, 2021",12,111
01-10-2021,2,-,-,Midnight Mass,TV Show,Yes,"Sep 24, 2021",6,48
01-10-2021,3,1,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",3,26
01-10-2021,4,2,-,No One Gets Out Alive,Movie,Yes,"Sep 29, 2021",2,16
01-10-2021,5,3,-,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",7,46
01-10-2021,6,-,2,Sex Education,TV Show,Yes,"Jan 11, 2019",13,98
01-10-2021,7,5,4,Grown Ups,Movie,,"Sep 20, 2021",8,47
01-10-2021,8,4,-,The Starling,Movie,Yes,"Sep 24, 2021",7,47
01-10-2021,9,-,9,Cocomelon,TV Show,,"Jun 1, 2020",337,1204
01-10-2021,10,-,6,The Circle US,TV Show,Yes,"Jan 1, 2020",40,213
02-10-2021,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",13,121
02-10-2021,2,-,-,The Guilty,Movie,Yes,"Oct 1, 2021",1,9
02-10-2021,3,-,-,Maid,TV Show,Yes,"Oct 1, 2021",1,8
02-10-2021,4,2,6,Midnight Mass,TV Show,Yes,"Sep 24, 2021",7,55
02-10-2021,5,5,5,My Little Pony: A New Gener…,Movie,Yes,"Sep 24, 2021",8,52
02-10-2021,6,3,-,Britney vs Spears,Movie,Yes,"Sep 28, 2021",4,31
02-10-2021,7,-,-,Seinfeld,TV Show,,"Oct 1, 2021",1,4
02-10-2021,8,-,-,The Great British Baking Show,TV Show,,"Oct 3, 2015",15,55
02-10-2021,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",338,1206
02-10-2021,10,6,3,Sex Education,TV Show,Yes,"Jan 11, 2019",14,99
03-10-2021,1,1,1,Squid Game,TV Show,Yes,"Sep 17, 2021",14,131
